date,open_price,highest_price,lowest_price,close_price,price_change,change_percentage,volume
2/12/2024,"64,600.00","64,800.00","64,200.00","64,500.00",-100,0,"1,229,100.00"
29/11/2024,"64,500.00","64,800.00","64,300.00","64,600.00",100,0,"1,105,500.00"
28/11/2024,"65,000.00","65,000.00","64,500.00","64,500.00",-100,0,"1,273,300.00"
27/11/2024,"64,800.00","65,000.00","64,500.00","64,600.00",-200,0,"1,586,400.00"
26/11/2024,"64,500.00","65,000.00","64,400.00","64,800.00",500,0.01,"1,675,600.00"
25/11/2024,"64,300.00","64,600.00","64,200.00","64,300.00",0,0,"2,446,600.00"
22/11/2024,"63,900.00","64,800.00","63,900.00","64,300.00",400,0.01,"2,176,700.00"
21/11/2024,"63,700.00","64,100.00","63,400.00","63,900.00",300,0,"2,253,500.00"
20/11/2024,"63,000.00","63,800.00","62,900.00","63,600.00",600,0.01,"2,818,000.00"
19/11/2024,"63,300.00","63,500.00","63,000.00","63,000.00",-200,0,"2,733,600.00"
18/11/2024,"63,700.00","64,200.00","63,200.00","63,200.00",-500,-0.01,"3,747,000.00"
15/11/2024,"64,900.00","64,900.00","63,700.00","63,700.00","-1,300.00",-0.02,"3,688,300.00"
14/11/2024,"65,000.00","65,000.00","64,700.00","65,000.00",0,0,"1,779,900.00"
13/11/2024,"65,100.00","65,600.00","64,700.00","65,000.00",100,0,"2,770,700.00"
12/11/2024,"65,200.00","65,700.00","64,800.00","64,900.00",-300,0,"1,729,600.00"
11/11/2024,"65,700.00","65,800.00","64,700.00","65,200.00",-500,-0.01,"2,737,600.00"
8/11/2024,"66,000.00","66,200.00","65,600.00","65,700.00",-200,0,"1,592,400.00"
7/11/2024,"66,000.00","66,200.00","65,600.00","65,900.00",100,0,"1,152,300.00"
6/11/2024,"66,000.00","66,000.00","65,300.00","65,800.00",300,0,"2,594,600.00"
5/11/2024,"65,700.00","66,000.00","65,500.00","65,500.00",-100,0,"1,060,900.00"
4/11/2024,"65,900.00","66,600.00","65,600.00","65,600.00",-200,0,"2,118,800.00"
1/11/2024,"66,100.00","66,300.00","65,600.00","65,800.00",-300,0,"2,178,000.00"
31/10/2024,"66,600.00","66,600.00","65,300.00","66,100.00",-200,0,"5,170,700.00"
30/10/2024,"67,000.00","67,300.00","66,300.00","66,300.00",-700,-0.01,"3,431,700.00"
29/10/2024,"67,300.00","67,300.00","66,800.00","67,000.00",-200,0,"2,030,600.00"
28/10/2024,"67,700.00","68,000.00","66,700.00","67,200.00",-800,-0.01,"2,923,300.00"
25/10/2024,"68,600.00","68,600.00","67,900.00","68,000.00",-400,-0.01,"2,170,200.00"
24/10/2024,"67,300.00","69,000.00","67,300.00","68,400.00","1,100.00",0.02,"4,365,000.00"
23/10/2024,"67,300.00","67,600.00","67,200.00","67,300.00",0,0,"1,635,900.00"
22/10/2024,"67,300.00","67,800.00","67,200.00","67,300.00",0,0,"2,250,400.00"
21/10/2024,"67,400.00","67,900.00","67,200.00","67,300.00",-100,0,"1,860,000.00"
18/10/2024,"67,600.00","68,000.00","67,400.00","67,400.00",-200,0,"1,597,500.00"
17/10/2024,"67,600.00","67,900.00","67,300.00","67,600.00",100,0,"1,655,000.00"
16/10/2024,"66,800.00","68,100.00","66,800.00","67,500.00",700,0.01,"2,003,900.00"
15/10/2024,"67,200.00","67,400.00","66,700.00","66,800.00",-400,-0.01,"3,073,300.00"
14/10/2024,"68,100.00","68,100.00","67,100.00","67,200.00",-500,-0.01,"2,820,500.00"
11/10/2024,"68,100.00","68,200.00","67,500.00","67,700.00",0,0,"2,370,000.00"
10/10/2024,"68,300.00","68,800.00","67,700.00","67,700.00",-100,0,"2,622,600.00"
9/10/2024,"68,300.00","68,600.00","67,800.00","67,800.00",-400,-0.01,"3,527,900.00"
8/10/2024,"67,200.00","68,200.00","67,200.00","68,200.00","1,100.00",0.02,"2,887,600.00"
7/10/2024,"68,700.00","69,300.00","67,100.00","67,100.00","-1,400.00",-0.02,"5,986,300.00"
4/10/2024,"70,500.00","70,500.00","68,400.00","68,500.00","-1,800.00",-0.03,"6,134,000.00"
3/10/2024,"70,200.00","70,500.00","69,900.00","70,300.00",200,0,"2,948,000.00"
2/10/2024,"70,200.00","70,200.00","69,600.00","70,100.00",0,0,"2,139,900.00"
1/10/2024,"70,200.00","70,700.00","70,100.00","70,100.00",0,0,"2,040,200.00"
30/09/2024,"71,000.00","71,000.00","70,100.00","70,100.00",-900,-0.01,"2,043,500.00"
27/09/2024,"70,800.00","71,200.00","70,700.00","71,000.00",300,0,"2,968,700.00"
26/09/2024,"69,600.00","71,100.00","69,600.00","70,700.00","1,100.00",0.02,"3,984,100.00"
25/09/2024,"70,300.00","70,400.00","69,600.00","69,600.00",-700,-0.01,"4,520,500.00"
24/09/2024,"71,000.00","71,000.00","70,100.00","70,300.00",-200,0,"2,076,500.00"
23/09/2024,"70,643.28","70,739.92","70,160.08","70,450.00",200,0,"2,997,201.00"
20/09/2024,"71,029.84","71,513.03","70,256.72","70,256.72",-600,-0.01,"6,555,403.00"
19/09/2024,"70,836.56","71,029.84","70,546.64","70,836.56",0,0,"1,572,742.00"
18/09/2024,"71,126.47","71,416.39","70,546.64","70,836.56",-100,0,"2,845,344.00"
17/09/2024,"69,580.25","70,933.20","69,290.33","70,933.20","1,500.00",0.02,"2,526,732.00"
16/09/2024,"70,546.64","70,546.64","69,483.61","69,483.61","-1,000.00",-0.01,"4,034,700.00"
13/09/2024,"72,286.15","72,286.15","70,450.00","70,450.00","-1,800.00",-0.02,"5,347,113.00"
12/9/2024,"72,479.42","72,672.70","71,899.59","72,189.51",100,0,"2,052,124.00"
11/9/2024,"72,286.15","72,576.06","71,416.39","72,092.87",-300,0,"3,165,231.00"
